abhängig;dependiente de,sujeto a;ADJ;Gregor ist finanziell von seinen Eltern abhängig.
ähnlich;parecido, semejante;ADJ;1. Oleg sieht seinem Bruder sehr ähnlich. 2. Emilia ist in einer ganz ähnlichen Situation wie ich.
aktuell;actual,de actualidad,de moda;ADJ;Umweltschutz ist ein aktuelles Thema.
angenehm;agradable, grato,ameno, entretenido,simpático;ADJ;1. Wir wünschen Ihnen eine angenehme Reise.2. Welcher Termin wäre Ihnen angenehm?
ängstlich;miedoso, temeroso,apocado,pusilánime,escrupuloso, meticuloso,preocupado;ADJ;Meine Tochter ist etwas ängstlich. Sie geht nicht gern allein auf die Straße.
anstrengend;duro, agotador,cansador Arg,laborioso, trabajoso;ADJ;Ich finde diese Arbeit sehr anstrengend.
anwesend;presente, asistente;ADJ;Bei dem Treffen waren alle Mitglieder anwesend.
arbeitslos;parado, sin trabajo;ADJ;Viele Leute hier sind schon lange arbeitslos.
ärgerlich;enfadado, molesto,indignado, enojado,desagradable, molesto;ADJ;Der Zug hat schon wieder Verspätung. Das ist wirklich ärgerlich.
aufmerksam;atento,alerta,atento, cortés;ADJ; 1.Die Schülerin hörte aufmerksam zu. 2. Ich mache Sie darauf aufmerksam, dass wir in einer halben Stunde schließen.
ausländisch ;extranjero;ADJ;In meiner Firma arbeiten mehr ausländische Kollegen als deutsche.
ausreichend;bastante, suficiente,suficiente;ADJ;Dafür bekommst du leider nur die Note ausreichend.
äußerlich;exterior, externo,superficial,aparente;ADJ;Das Medikament dürfen Sie nur äußerlich anwenden.
automatisch;automático;ADJ;1. Die Tür schließt automatisch. 2. Ihre Lohnsteuerkarte bekommen Sie automatisch zugeschickt.
bereit;listo para,preparado para,dispuesto para/a +inf;ADJ;1. Ich bin nicht bereit, noch mehr überstunden zu machen.2. Das Paket liegt auf der Post für Sie bereit.
beruflich;profesional;ADJ;Was machen Sie beruflich?
berufstätig;"";ADJ;Sind Sie berufstätig?
breit;ancho,amplio, extenso;ADJ;Der Teppich ist zwei Meter lang und einen Meter breit.
bunt ;de varios colores, multicolor,desordenado;ADJ;Das bunte Kleid gefällt mir gut.
dankbar;agradecido,provechoso, satisfactorio,resistente;ADJ;Ich bin Ihnen sehr dankbar für Ihre Hilfe.
demokratisch;democrático,demócrata;ADJ;Der Betriebsrat wird demokratisch gewählt.
dumm;bobo, tonto, estúpido,acicuatado Ant, Mex,otario Mex,apantallado Mex,upa Ecua, Peru,ignorante,fastidioso,desagradable;ADJ;1. Entschuldigung, das war dumm von mir. 2. Mir ist etwas Dummes passiert. 3. Ich fand den Film wirklich sehr dumm.
