ab;desde,a partir de,de... en adelante;OTHER;1. Die Fahrt kostet ab Hamburg 200 Euro. 2. Ab nächster Woche bleibt unser Geschäft samstags geschlossen. 3. Mein Bruder besucht uns ab und zu.
aber;pero, sin embargo,bueno, pero;OTHER;1. Heute kann ich nicht, aber morgen ganz bestimmt.2. Es lag sehr viel Schnee, aber Enzo ist trotzdem mit dem Motorrad gefahren.3. Wir haben nur eine kleine Wohnung, sind aber damit zufrieden.4. Es war sehr schön. Jetzt muss ich aber gehen.5. Ich würde gerne kommen, aber es geht leider nicht.6. Darf ich dich zu einem Kaffee einladen? – Aber ja, sehr gern.7. Du spielst aber gut Klavier.
absolut;absoluto,absolutamente,por completo,en absoluto;OTHER;1. Was Sie da sagen, ist absolut falsch. 2. Ich habe absolutes Vertrauen zu dir.
ach;¡ah!;OTHER;1. Sie sind krank? Ach, das tut mir aber leid. 2. Ach so! Jetzt verstehe ich, was Sie meinen. 3. Ach ja, das hatte ich vergessen. Heute gehen wir ja zu deinen Freunden. 4. Ich habe Angst, ich schaffe es nicht. – Ach was! Das wird schon klappen. 
aha;¡ajá!, ¡ya!;OTHER;Ich gehe bald in Rente. – Aha, dann haben Sie ja viel Zeit für Ihre Hobbys.
aktiv;activo,en activo,(en) activo;OTHER;Ich bin sehr aktiv und mache viel Sport.
all-;"";OTHER;1. Alles Gute! 2. Sonst noch (et)was? – Nein, danke. Das ist alles. 3. Sind alle da? 4. Alle unsere Freunde kommen. 5. Hast du alles?
allein;solo, a solas,solo,sólo, solamente,pero, sin embargo;OTHER;1. Ich gehe nicht gern allein spazieren. 2. Soll ich Ihnen helfen? – Danke, ich schaffe es schon allein. 3. Es war sehr teuer. Allein das Essen hat schon über 50 Euro gekostet.
aller-;"";OTHER;1. Am allerbesten ist es, wenn du dich ins Bett legst und lange schläfst. Dann wirst du schnell wieder gesund.2. Das ist das Allerschönste, was ich je gesehen habe.
allgemein;general,universal, público,común,en general;OTHER;1. Im Allgemeinen bin ich mit meiner Arbeit sehr zufrieden. 2. Wir haben nur über allgemeine Probleme gesprochen.
als;(justo) cuando,al +inf,cuando,como si, que,que,como, de;OTHER;1. Als mein Mann kam, war die Party schon zu Ende.2. Sie können sich sowohl persönlich als auch per Internet anmelden. 3. Meine Schwester ist älter als ich. 4. Es ist später, als ich dachte.
als ob;"";OTHER;Der Chef tat so, als ob wir nie darüber gesprochen hätten.
